Запуск аудита: 20.08.2026, 17:39:01
Эталон: C:\Users\123\Desktop\coursera-bulk-course-adder\All courses.xlsx
Пар «курс + провайдер»: 36
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к проверке: 100
Режим: ТОЛЬКО ЧТЕНИЕ
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\АУДИТ_2026-08-20_17-39-01-810
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\АУДИТ_2026-08-20_17-39-01-810\console.txt
[1/100] Академия Комитета национальной безопасности ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[2/100] ALT Университет имени Мухамеджана Тынышпаева ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[3/100] Академия гражданской авиации ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[4/100] Алматинский технологический университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[5/100] Жезқазған университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[6/100] Казахский университет международных отношений и мировых языков имени Абылай хана ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[7/100] Казахский университет технологии и бизнеса ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[8/100] Казахстанско-Британский технический университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[9/100] Международный университет информационных технологий ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[10/100] Maqsut Narikbayev University ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[11/100] Южно-Казахстанская медицинская академия ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[12/100] Гуманитарно-техническая академия ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[13/100] Египетский университет исламской культуры «Нур-Мубарак» ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[14/100] Академия физической культуры и массового спорта ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[15/100] Казахстанский медицинский университет «ВШОЗ» ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[16/100] Кызылординский открытый университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[17/100] Кызылординский университет «Болашак» ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[18/100] Университет Нархоз ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[19/100] Жұбанов университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[20/100] Алматинский университет энергетики и связи имени Г.Даукеева ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[21/100] Алтынсарин институты ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[22/100] Atyrau University ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[23/100] Атырау мұнай және газ университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[24/100] Шығыс Қазақстан техникалық университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[25/100] Аманжолов университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[26/100] Евразийский национальный университет имени Л.Н. Гумилева ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[27/100] Жетісу университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[28/100] Западно-Казахстанский аграрно-технический университет имени Жангир хана ... mismatch | на странице: 36 | считано: 0 | совпало: 0/36 | нет: 36 | лишних: 0 | неверный провайдер: 0
[29/100] Западно-Казахстанский медицинский университет имени М.Оспанова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[30/100] Махамбет университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[31/100] Казахская академия спорта и туризма ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[32/100] Казахский агротехнический исследовательский университет имени С.Сейфуллина ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[33/100] Казахский национальный аграрный исследовательский университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[34/100] Қазақ ұлттық қыздар педагогикалық университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[35/100] Казахский национальный исследовательский технический университет имени К.И. Сатпаева ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[36/100] Абай университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[37/100] Казахский национальный университет водного хозяйства и ирригации ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[38/100] Казахский национальный университет имени аль-Фараби ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[39/100] Қарағанды индустриялық университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[40/100] Бөкетов атындағы Қарағанды университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[41/100] Карагандинский технический университет имени А. Сагинова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[42/100] Есенов университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[43/100] Уәлиханов университеті ... mismatch | на странице: 26 | считано: 26 | совпало: 26/36 | нет: 10 | лишних: 0 | неверный провайдер: 0
[44/100] Байтұрсынов университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[45/100] Қорқыт Ата университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[46/100] Медицинский университет Астана ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[47/100] Медицинский университет Караганды ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[48/100] Медицинский университет Семей ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[49/100] Международный университет туризма и гостеприимства ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[50/100] Марғұлан университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[51/100] Рудненский индустриальный университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[52/100] Қозыбаев университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[53/100] Дулати университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[54/100] С. Торайғыров атындағы университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[55/100] Шәкәрім университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[56/100] Әуезов университеті ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[57/100] ЮКПУ имени Жанибекова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[58/100] Казахстанский университет инновационных и телекоммуникационных систем ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[59/100] Казахстанско-Российский медицинский университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[60/100] Казахская национальная академия искусств имени Темирбека Жургенова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[61/100] Казахская национальная консерватория имени Курмангазы ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[62/100] Казахский национальный университет искусств имени Күләш Байсейтовой ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[63/100] Казахская национальная академия хореографии ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[64/100] Astana IT University ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[65/100] Евразийский технологический университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[66/100] Инновационный Евразийский университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[67/100] Казахстанско-Американский свободный университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[68/100] Международная образовательная корпорация ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[69/100] Международный инженерно-технологический университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
