Запуск: 24.08.2026, 17:51:37
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-24_17-51-37-943
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-24_17-51-37-943\console.txt
Курс: Неміс тілі (А1 деңгейі)
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[1/100] Академия Комитета национальной безопасности ... success_verified | курсов: 36 → 37
[2/100] ALT Университет имени Мухамеджана Тынышпаева ... success_submitted | курсов: 36 → 37
[3/100] Академия гражданской авиации ... success_verified | курсов: 36 → 37
[4/100] Алматинский технологический университет ... success_submitted | курсов: 36 → 37
[5/100] Жезқазған университеті ... success_submitted | курсов: 36 → 37
[6/100] Казахский университет международных отношений и мировых языков имени Абылай хана ... success_submitted | курсов: 36 → 37
[7/100] Казахский университет технологии и бизнеса ... success_submitted | курсов: 36 → 37
[8/100] Казахстанско-Британский технический университет ... success_submitted | курсов: 36 → 37
[9/100] Международный университет информационных технологий ... success_verified | курсов: 36 → 37
[10/100] Maqsut Narikbayev University ... success_submitted | курсов: 36 → 37
[11/100] Южно-Казахстанская медицинская академия ... success_submitted | курсов: 36 → 37
[12/100] Гуманитарно-техническая академия ... success_submitted | курсов: 36 → 37
[13/100] Египетский университет исламской культуры «Нур-Мубарак» ... success_verified | курсов: 36 → 37
[14/100] Академия физической культуры и массового спорта ... success_submitted | курсов: 36 → 37
[15/100] Казахстанский медицинский университет «ВШОЗ» ... success_verified | курсов: 36 → 37
[16/100] Кызылординский открытый университет ... success_submitted | курсов: 36 → 37
[17/100] Кызылординский университет «Болашак» ... success_verified | курсов: 36 → 37
[18/100] Университет Нархоз ... success_submitted | курсов: 36 → 37
[19/100] Жұбанов университеті ... success_submitted | курсов: 36 → 37
[20/100] Алматинский университет энергетики и связи имени Г.Даукеева ... success_verified | курсов: 36 → 37
[21/100] Алтынсарин институты ... success_submitted | курсов: 36 → 37
[22/100] Atyrau University ... success_submitted | курсов: 36 → 37
[23/100] Атырау мұнай және газ университеті ... success_submitted | курсов: 36 → 37
[24/100] Шығыс Қазақстан техникалық университеті ... success_submitted | курсов: 36 → 37
[25/100] Аманжолов университеті ... success_submitted | курсов: 36 → 37
[26/100] Евразийский национальный университет имени Л.Н. Гумилева ... success_submitted | курсов: 36 → 37
[27/100] Жетісу университеті ... success_submitted | курсов: 36 → 37
[28/100] Западно-Казахстанский аграрно-технический университет имени Жангир хана ... success_submitted | курсов: 36 → 37
[29/100] Западно-Казахстанский медицинский университет имени М.Оспанова ... success_submitted | курсов: 36 → 37
[30/100] Махамбет университеті ... success_submitted | курсов: 36 → 37
[31/100] Казахская академия спорта и туризма ... success_submitted | курсов: 36 → 37
[32/100] Казахский агротехнический исследовательский университет имени С.Сейфуллина ... success_submitted | курсов: 36 → 37
[33/100] Казахский национальный аграрный исследовательский университет ... success_submitted | курсов: 36 → 37
[34/100] Қазақ ұлттық қыздар педагогикалық университеті ... success_submitted | курсов: 36 → 37
