Запуск: 31.08.2026, 09:36:18
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-31_09-36-18-548
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-31_09-36-18-548\console.txt
Курс: Матричная алгебра для начинающих
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[1/100] Академия Комитета национальной безопасности ... success_submitted | курсов: 38 → 39
[2/100] ALT Университет имени Мухамеджана Тынышпаева ... success_submitted | курсов: 38 → 39
[3/100] Академия гражданской авиации ... success_verified | курсов: 38 → 39
[4/100] Алматинский технологический университет ... success_verified | курсов: 38 → 39
[5/100] Жезқазған университеті ... success_submitted | курсов: 38 → 39
[6/100] Казахский университет международных отношений и мировых языков имени Абылай хана ... success_submitted | курсов: 38 → 39
[7/100] Казахский университет технологии и бизнеса ... success_submitted | курсов: 38 → 39
[8/100] Казахстанско-Британский технический университет ... success_submitted | курсов: 38 → 39
[9/100] Международный университет информационных технологий ... success_submitted | курсов: 38 → 39
[10/100] Maqsut Narikbayev University ... success_submitted | курсов: 38 → 39
[11/100] Южно-Казахстанская медицинская академия ... success_submitted | курсов: 38 → 39
[12/100] Гуманитарно-техническая академия ... success_verified | курсов: 38 → 39
[13/100] Египетский университет исламской культуры «Нур-Мубарак» ... success_submitted | курсов: 38 → 39
[14/100] Академия физической культуры и массового спорта ... success_verified | курсов: 38 → 39
[15/100] Казахстанский медицинский университет «ВШОЗ» ... success_submitted | курсов: 38 → 39
[16/100] Кызылординский открытый университет ... success_submitted | курсов: 38 → 39
[17/100] Кызылординский университет «Болашак» ... success_submitted | курсов: 38 → 39
[18/100] Университет Нархоз ... success_submitted | курсов: 38 → 39
[19/100] Жұбанов университеті ... success_submitted | курсов: 38 → 39
[20/100] Алматинский университет энергетики и связи имени Г.Даукеева ... success_verified | курсов: 38 → 39
[21/100] Алтынсарин институты ... success_submitted | курсов: 38 → 39
[22/100] Atyrau University ... success_verified | курсов: 38 → 39
