Запуск: 01.09.2026, 18:02:01
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-01_18-02-01-305
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-01_18-02-01-305\console.txt
Курс: Дала дастандарының құпиясы
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[1/100] Академия Комитета национальной безопасности ... ERROR: Не найден кликабельный элемент: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
[2/100] ALT Университет имени Мухамеджана Тынышпаева ... ERROR: page.waitForTimeout: Target page, context or browser has been closed
[3/100] Академия гражданской авиации ... ERROR: page.goto: Target page, context or browser has been closed
[4/100] Алматинский технологический университет ... ERROR: page.goto: Target page, context or browser has been closed
[5/100] Жезқазған университеті ... ERROR: page.goto: Target page, context or browser has been closed
[6/100] Казахский университет международных отношений и мировых языков имени Абылай хана ... ERROR: page.goto: Target page, context or browser has been closed
[7/100] Казахский университет технологии и бизнеса ... ERROR: page.goto: Target page, context or browser has been closed
[8/100] Казахстанско-Британский технический университет ... ERROR: page.goto: Target page, context or browser has been closed
[9/100] Международный университет информационных технологий ... ERROR: page.goto: Target page, context or browser has been closed
[10/100] Maqsut Narikbayev University ... ERROR: page.goto: Target page, context or browser has been closed
[11/100] Южно-Казахстанская медицинская академия ... ERROR: page.goto: Target page, context or browser has been closed
[12/100] Гуманитарно-техническая академия ... ERROR: page.goto: Target page, context or browser has been closed
[13/100] Египетский университет исламской культуры «Нур-Мубарак» ... ERROR: page.goto: Target page, context or browser has been closed
[14/100] Академия физической культуры и массового спорта ... ERROR: page.goto: Target page, context or browser has been closed
[15/100] Казахстанский медицинский университет «ВШОЗ» ... ERROR: page.goto: Target page, context or browser has been closed
[16/100] Кызылординский открытый университет ... ERROR: page.goto: Target page, context or browser has been closed
[17/100] Кызылординский университет «Болашак» ... ERROR: page.goto: Target page, context or browser has been closed
[18/100] Университет Нархоз ... ERROR: page.goto: Target page, context or browser has been closed
[19/100] Жұбанов университеті ... ERROR: page.goto: Target page, context or browser has been closed
[20/100] Алматинский университет энергетики и связи имени Г.Даукеева ... ERROR: page.goto: Target page, context or browser has been closed
[21/100] Алтынсарин институты ... ERROR: page.goto: Target page, context or browser has been closed
[22/100] Atyrau University ... ERROR: page.goto: Target page, context or browser has been closed
[23/100] Атырау мұнай және газ университеті ... ERROR: page.goto: Target page, context or browser has been closed
[24/100] Шығыс Қазақстан техникалық университеті ... ERROR: page.goto: Target page, context or browser has been closed
[25/100] Аманжолов университеті ... ERROR: page.goto: Target page, context or browser has been closed
[26/100] Евразийский национальный университет имени Л.Н. Гумилева ... ERROR: page.goto: Target page, context or browser has been closed
[27/100] Жетісу университеті ... ERROR: page.goto: Target page, context or browser has been closed
[28/100] Западно-Казахстанский аграрно-технический университет имени Жангир хана ... ERROR: page.goto: Target page, context or browser has been closed
[29/100] Западно-Казахстанский медицинский университет имени М.Оспанова ... ERROR: page.goto: Target page, context or browser has been closed
[30/100] Махамбет университеті ... ERROR: page.goto: Target page, context or browser has been closed
[31/100] Казахская академия спорта и туризма ... ERROR: page.goto: Target page, context or browser has been closed
[32/100] Казахский агротехнический исследовательский университет имени С.Сейфуллина ... ERROR: page.goto: Target page, context or browser has been closed
[33/100] Казахский национальный аграрный исследовательский университет ... ERROR: page.goto: Target page, context or browser has been closed
[34/100] Қазақ ұлттық қыздар педагогикалық университеті ... ERROR: page.goto: Target page, context or browser has been closed
[35/100] Казахский национальный исследовательский технический университет имени К.И. Сатпаева ... ERROR: page.goto: Target page, context or browser has been closed
[36/100] Абай университеті ... ERROR: page.goto: Target page, context or browser has been closed
[37/100] Казахский национальный университет водного хозяйства и ирригации ... ERROR: page.goto: Target page, context or browser has been closed
[38/100] Казахский национальный университет имени аль-Фараби ... ERROR: page.goto: Target page, context or browser has been closed
[39/100] Қарағанды индустриялық университеті ... ERROR: page.goto: Target page, context or browser has been closed
[40/100] Бөкетов атындағы Қарағанды университеті ... ERROR: page.goto: Target page, context or browser has been closed
[41/100] Карагандинский технический университет имени А. Сагинова ... ERROR: page.goto: Target page, context or browser has been closed
[42/100] Есенов университеті ... ERROR: page.goto: Target page, context or browser has been closed
[43/100] Уәлиханов университеті ... ERROR: page.goto: Target page, context or browser has been closed
[44/100] Байтұрсынов университеті ... ERROR: page.goto: Target page, context or browser has been closed
[45/100] Қорқыт Ата университеті ... ERROR: page.goto: Target page, context or browser has been closed
[46/100] Медицинский университет Астана ... ERROR: page.goto: Target page, context or browser has been closed
[47/100] Медицинский университет Караганды ... ERROR: page.goto: Target page, context or browser has been closed
[48/100] Медицинский университет Семей ... ERROR: page.goto: Target page, context or browser has been closed
[49/100] Международный университет туризма и гостеприимства ... ERROR: page.goto: Target page, context or browser has been closed
[50/100] Марғұлан университеті ... ERROR: page.goto: Target page, context or browser has been closed
[51/100] Рудненский индустриальный университет ... ERROR: page.goto: Target page, context or browser has been closed
