Запуск: 01.09.2026, 18:03:18
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-01_18-03-18-546
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-01_18-03-18-546\console.txt
Курс: Дала дастандарының құпиясы
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[1/100] Академия Комитета национальной безопасности ... success_verified | курсов: 39 → 40
[2/100] ALT Университет имени Мухамеджана Тынышпаева ... success_submitted | курсов: 39 → 40
[3/100] Академия гражданской авиации ... success_submitted | курсов: 39 → 40
[4/100] Алматинский технологический университет ... success_submitted | курсов: 39 → 40
[5/100] Жезқазған университеті ... success_verified | курсов: 39 → 40
[6/100] Казахский университет международных отношений и мировых языков имени Абылай хана ... success_submitted | курсов: 39 → 40
[7/100] Казахский университет технологии и бизнеса ... success_submitted | курсов: 39 → 40
[8/100] Казахстанско-Британский технический университет ... success_submitted | курсов: 39 → 40
[9/100] Международный университет информационных технологий ... success_submitted | курсов: 39 → 40
[10/100] Maqsut Narikbayev University ... success_submitted | курсов: 39 → 40
[11/100] Южно-Казахстанская медицинская академия ... success_submitted | курсов: 39 → 40
[12/100] Гуманитарно-техническая академия ... success_verified | курсов: 39 → 40
[13/100] Египетский университет исламской культуры «Нур-Мубарак» ... success_submitted | курсов: 39 → 40
[14/100] Академия физической культуры и массового спорта ... success_verified | курсов: 39 → 40
[15/100] Казахстанский медицинский университет «ВШОЗ» ... success_submitted | курсов: 39 → 40
[16/100] Кызылординский открытый университет ... success_submitted | курсов: 39 → 40
[17/100] Кызылординский университет «Болашак» ... success_submitted | курсов: 39 → 40
[18/100] Университет Нархоз ... success_submitted | курсов: 39 → 40
[19/100] Жұбанов университеті ... success_verified | курсов: 39 → 40
[20/100] Алматинский университет энергетики и связи имени Г.Даукеева ... success_submitted | курсов: 39 → 40
[21/100] Алтынсарин институты ... success_submitted | курсов: 39 → 40
[22/100] Atyrau University ... success_submitted | курсов: 39 → 40
[23/100] Атырау мұнай және газ университеті ... success_submitted | курсов: 39 → 40
[24/100] Шығыс Қазақстан техникалық университеті ... success_submitted | курсов: 39 → 40
[25/100] Аманжолов университеті ... success_submitted | курсов: 39 → 40
[26/100] Евразийский национальный университет имени Л.Н. Гумилева ... success_submitted | курсов: 39 → 40
[27/100] Жетісу университеті ... success_submitted | курсов: 39 → 40
[28/100] Западно-Казахстанский аграрно-технический университет имени Жангир хана ... success_verified | курсов: 39 → 40
[29/100] Западно-Казахстанский медицинский университет имени М.Оспанова ... success_submitted | курсов: 39 → 40
[30/100] Махамбет университеті ... success_submitted | курсов: 39 → 40
[31/100] Казахская академия спорта и туризма ... success_submitted | курсов: 39 → 40
[32/100] Казахский агротехнический исследовательский университет имени С.Сейфуллина ... success_submitted | курсов: 39 → 40
[33/100] Казахский национальный аграрный исследовательский университет ... success_submitted | курсов: 39 → 40
[34/100] Қазақ ұлттық қыздар педагогикалық университеті ... success_submitted | курсов: 39 → 40
[35/100] Казахский национальный исследовательский технический университет имени К.И. Сатпаева ... success_submitted | курсов: 39 → 40
[36/100] Абай университеті ... success_submitted | курсов: 39 → 40
[37/100] Казахский национальный университет водного хозяйства и ирригации ... success_verified | курсов: 39 → 40
[38/100] Казахский национальный университет имени аль-Фараби ... success_verified | курсов: 39 → 40
[39/100] Қарағанды индустриялық университеті ... success_submitted | курсов: 39 → 40
[40/100] Бөкетов атындағы Қарағанды университеті ... success_verified | курсов: 39 → 40
[41/100] Карагандинский технический университет имени А. Сагинова ... success_verified | курсов: 39 → 40
[42/100] Есенов университеті ... success_submitted | курсов: 39 → 40
[43/100] Уәлиханов университеті ... success_submitted | курсов: 39 → 40
[44/100] Байтұрсынов университеті ... success_submitted | курсов: 39 → 40
[45/100] Қорқыт Ата университеті ... success_submitted | курсов: 39 → 40
[46/100] Медицинский университет Астана ... success_submitted | курсов: 39 → 40
[47/100] Медицинский университет Караганды ... success_submitted | курсов: 39 → 40
[48/100] Медицинский университет Семей ... success_submitted | курсов: 39 → 40
[49/100] Международный университет туризма и гостеприимства ... success_verified | курсов: 39 → 40
[50/100] Марғұлан университеті ... success_verified | курсов: 39 → 40
[51/100] Рудненский индустриальный университет ... success_submitted | курсов: 39 → 40
[52/100] Қозыбаев университеті ... success_submitted | курсов: 39 → 40
[53/100] Дулати университеті ... success_submitted | курсов: 39 → 40
[54/100] С. Торайғыров атындағы университет ... success_submitted | курсов: 39 → 40
[55/100] Шәкәрім университеті ... success_submitted | курсов: 39 → 40
[56/100] Әуезов университеті ... success_submitted | курсов: 39 → 40
[57/100] ЮКПУ имени Жанибекова ... success_submitted | курсов: 39 → 40
[58/100] Казахстанский университет инновационных и телекоммуникационных систем ... success_submitted | курсов: 39 → 40
[59/100] Казахстанско-Российский медицинский университет ... success_submitted | курсов: 39 → 40
[60/100] Казахская национальная академия искусств имени Темирбека Жургенова ... success_submitted | курсов: 39 → 40
[61/100] Казахская национальная консерватория имени Курмангазы ... success_submitted | курсов: 39 → 40
[62/100] Казахский национальный университет искусств имени Күләш Байсейтовой ... success_verified | курсов: 39 → 40
[63/100] Казахская национальная академия хореографии ... success_submitted | курсов: 39 → 40
[64/100] Astana IT University ... success_submitted | курсов: 39 → 40
[65/100] Евразийский технологический университет ... success_submitted | курсов: 39 → 40
[66/100] Инновационный Евразийский университет ... success_submitted | курсов: 39 → 40
[67/100] Казахстанско-Американский свободный университет ... success_submitted | курсов: 39 → 40
[68/100] Международная образовательная корпорация ... success_submitted | курсов: 39 → 40
[69/100] Международный инженерно-технологический университет ... success_submitted | курсов: 39 → 40
[70/100] Международный университет Астана ... success_submitted | курсов: 39 → 40
[71/100] Университет имени Ж. Ташенева ... success_submitted | курсов: 39 → 40
[72/100] Университет Кунаева ... success_submitted | курсов: 39 → 40
[73/100] Университет международного бизнеса имени К.Сагадиева ... success_submitted | курсов: 39 → 40
[74/100] Центрально-Азиатский инновационный университет ... success_submitted | курсов: 39 → 40
[75/100] Алматы Менеджмент Университет ... success_submitted | курсов: 39 → 40
[76/100] Esil University ... success_submitted | курсов: 39 → 40
[77/100] Q University ... success_submitted | курсов: 39 → 40
[78/100] SDU University ... success_submitted | курсов: 39 → 40
[79/100] Алматинский гуманитарно-экономический университет ... success_submitted | курсов: 39 → 40
[80/100] Екибастузский инженерно-технический институт имени К.И. Сатпаева ... success_submitted | курсов: 39 → 40
[81/100] Казахский автомобильно-дорожный институт имени Л.Б. Гончарова ... success_submitted | курсов: 39 → 40
[82/100] Кокшетауский университет имени А. Мырзахметова ... success_submitted | курсов: 39 → 40
[83/100] Костанайский социально-технический университет имени академика Зулхарнай Алдамжар ... success_submitted | курсов: 39 → 40
[84/100] Международный казахско-турецкий университет имени Х.А.Ясави ... success_submitted | курсов: 39 → 40
[85/100] Международный Таразский инновационный институт имени Ш.Муртазы ... success_submitted | курсов: 39 → 40
[86/100] Региональный инновационный университет ... success_submitted | курсов: 39 → 40
[87/100] Университет «Мирас» ... success_submitted | курсов: 39 → 40
[88/100] Университет «Туран» ... success_submitted | курсов: 39 → 40
[89/100] Университет «Туран-Астана» ... success_submitted | курсов: 39 → 40
[90/100] Университет дружбы народов имени академика А. Куатбекова ... success_submitted | курсов: 39 → 40
[91/100] Евразийский гуманитарный институт имени А.Кусаинова ... success_submitted | курсов: 39 → 40
[92/100] Alikhan Bokeikhan University ... success_submitted | курсов: 39 → 40
[93/100] Казахстанско-Немецкий университет в Алматы ... success_submitted | курсов: 39 → 40
[94/100] Каспийский общественный университет ... success_submitted | курсов: 39 → 40
[95/100] Западно-Казахстанский инновационно-технологический университет ... success_submitted | курсов: 39 → 40
[96/100] Академия «Bolashaq» ... success_submitted | курсов: 39 → 40
[97/100] Карагандинский университет Казпотребсоюза ... success_submitted | курсов: 39 → 40
[98/100] Костанайский инженерно-экономический университет имени М. Дулатова ... success_submitted | курсов: 39 → 40
[99/100] Центрально-Казахстанская академия ... success_submitted | курсов: 39 → 40
[100/100] Шымкентский университет ... success_submitted | курсов: 39 → 40

Итог: { success_verified: 13, success_submitted: 87 }
Отчет Excel: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-01_18-03-18-546\report.xlsx
Лог консоли UTF-8: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-01_18-03-18-546\console.txt
