Запуск: 10.09.2026, 12:29:15
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-10_12-29-15-075
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-10_12-29-15-075\console.txt
Курс: Аспан әлемін танудың алғашқы қадамдары
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[1/100] Академия Комитета национальной безопасности ... ERROR: Не найдена кнопка Search / «Поиск» | курсов в коллекции: 40
[2/100] ALT Университет имени Мухамеджана Тынышпаева ... success_submitted | курсов: 40 → 41
[3/100] Академия гражданской авиации ... success_submitted | курсов: 40 → 41
[4/100] Алматинский технологический университет ... success_submitted | курсов: 40 → 41
[5/100] Жезқазған университеті ... success_submitted | курсов: 40 → 41
[6/100] Казахский университет международных отношений и мировых языков имени Абылай хана ... success_submitted | курсов: 40 → 41
[7/100] Казахский университет технологии и бизнеса ... success_submitted | курсов: 40 → 41
[8/100] Казахстанско-Британский технический университет ... success_submitted | курсов: 40 → 41
[9/100] Международный университет информационных технологий ... success_submitted | курсов: 40 → 41
[10/100] Maqsut Narikbayev University ... success_submitted | курсов: 40 → 41
[11/100] Южно-Казахстанская медицинская академия ... success_submitted | курсов: 40 → 41
[12/100] Гуманитарно-техническая академия ... success_submitted | курсов: 40 → 41
[13/100] Египетский университет исламской культуры «Нур-Мубарак» ... success_verified | курсов: 40 → 41
[14/100] Академия физической культуры и массового спорта ... success_submitted | курсов: 40 → 41
[15/100] Казахстанский медицинский университет «ВШОЗ» ... success_submitted | курсов: 40 → 41
[16/100] Кызылординский открытый университет ... success_submitted | курсов: 40 → 41
[17/100] Кызылординский университет «Болашак» ... success_submitted | курсов: 40 → 41
[18/100] Университет Нархоз ... success_submitted | курсов: 40 → 41
[19/100] Жұбанов университеті ... success_submitted | курсов: 40 → 41
[20/100] Алматинский университет энергетики и связи имени Г.Даукеева ... success_submitted | курсов: 40 → 41
[21/100] Алтынсарин институты ... success_submitted | курсов: 40 → 41
[22/100] Atyrau University ... success_submitted | курсов: 40 → 41
[23/100] Атырау мұнай және газ университеті ... success_verified | курсов: 40 → 41
[24/100] Шығыс Қазақстан техникалық университеті ... success_submitted | курсов: 40 → 41
[25/100] Аманжолов университеті ... success_submitted | курсов: 40 → 41
[26/100] Евразийский национальный университет имени Л.Н. Гумилева ... success_verified | курсов: 40 → 41
[27/100] Жетісу университеті ... success_submitted | курсов: 40 → 41
[28/100] Западно-Казахстанский аграрно-технический университет имени Жангир хана ... success_submitted | курсов: 40 → 41
[29/100] Западно-Казахстанский медицинский университет имени М.Оспанова ... success_submitted | курсов: 40 → 41
[30/100] Махамбет университеті ... success_submitted | курсов: 40 → 41
[31/100] Казахская академия спорта и туризма ... success_submitted | курсов: 40 → 41
[32/100] Казахский агротехнический исследовательский университет имени С.Сейфуллина ... success_submitted | курсов: 40 → 41
[33/100] Казахский национальный аграрный исследовательский университет ... success_submitted | курсов: 40 → 41
[34/100] Қазақ ұлттық қыздар педагогикалық университеті ... success_verified | курсов: 40 → 41
[35/100] Казахский национальный исследовательский технический университет имени К.И. Сатпаева ... success_submitted | курсов: 40 → 41
[36/100] Абай университеті ... success_submitted | курсов: 40 → 41
[37/100] Казахский национальный университет водного хозяйства и ирригации ... success_submitted | курсов: 40 → 41
[38/100] Казахский национальный университет имени аль-Фараби ... success_submitted | курсов: 40 → 41
[39/100] Қарағанды индустриялық университеті ... success_verified | курсов: 40 → 41
[40/100] Бөкетов атындағы Қарағанды университеті ... success_submitted | курсов: 40 → 41
[41/100] Карагандинский технический университет имени А. Сагинова ... success_verified | курсов: 40 → 41
[42/100] Есенов университеті ... success_submitted | курсов: 40 → 41
[43/100] Уәлиханов университеті ... success_submitted | курсов: 40 → 41
[44/100] Байтұрсынов университеті ... success_submitted | курсов: 40 → 41
[45/100] Қорқыт Ата университеті ... success_verified | курсов: 40 → 41
[46/100] Медицинский университет Астана ... success_submitted | курсов: 40 → 41
[47/100] Медицинский университет Караганды ... success_submitted | курсов: 40 → 41
[48/100] Медицинский университет Семей ... success_submitted | курсов: 40 → 41
[49/100] Международный университет туризма и гостеприимства ... success_submitted | курсов: 40 → 41
[50/100] Марғұлан университеті ... success_submitted | курсов: 40 → 41
[51/100] Рудненский индустриальный университет ... success_submitted | курсов: 40 → 41
[52/100] Қозыбаев университеті ... success_submitted | курсов: 40 → 41
[53/100] Дулати университеті ... success_submitted | курсов: 40 → 41
[54/100] С. Торайғыров атындағы университет ... success_verified | курсов: 40 → 41
[55/100] Шәкәрім университеті ... success_submitted | курсов: 40 → 41
[56/100] Әуезов университеті ... success_submitted | курсов: 40 → 41
[57/100] ЮКПУ имени Жанибекова ... success_verified | курсов: 40 → 41
[58/100] Казахстанский университет инновационных и телекоммуникационных систем ... success_submitted | курсов: 40 → 41
[59/100] Казахстанско-Российский медицинский университет ... success_submitted | курсов: 40 → 41
[60/100] Казахская национальная академия искусств имени Темирбека Жургенова ... success_submitted | курсов: 40 → 41
[61/100] Казахская национальная консерватория имени Курмангазы ... success_verified | курсов: 40 → 41
[62/100] Казахский национальный университет искусств имени Күләш Байсейтовой ... success_submitted | курсов: 40 → 41
[63/100] Казахская национальная академия хореографии ... success_submitted | курсов: 40 → 41
[64/100] Astana IT University ... success_submitted | курсов: 40 → 41
[65/100] Евразийский технологический университет ... success_submitted | курсов: 40 → 41
[66/100] Инновационный Евразийский университет ... success_submitted | курсов: 40 → 41
[67/100] Казахстанско-Американский свободный университет ... success_submitted | курсов: 40 → 41
[68/100] Международная образовательная корпорация ... success_verified | курсов: 40 → 41
[69/100] Международный инженерно-технологический университет ... success_submitted | курсов: 40 → 41
[70/100] Международный университет Астана ... success_submitted | курсов: 40 → 41
[71/100] Университет имени Ж. Ташенева ... success_verified | курсов: 40 → 41
[72/100] Университет Кунаева ... success_verified | курсов: 40 → 41
[73/100] Университет международного бизнеса имени К.Сагадиева ... success_submitted | курсов: 40 → 41
[74/100] Центрально-Азиатский инновационный университет ... success_submitted | курсов: 40 → 41
[75/100] Алматы Менеджмент Университет ... success_submitted | курсов: 40 → 41
[76/100] Esil University ... success_verified | курсов: 40 → 41
[77/100] Q University ... success_submitted | курсов: 40 → 41
